Name,About,Website
"
Invitation codes
","
The referral community
Invitation App is a social network where people post their referral codes and collect rewards on autopilot.

",https://invitation.codes
"
Yachtico
","
 Yacht Charters & Boat Rentals Booking Engine
YACHTICO.com is considered the ""booking.com"" for boat rental and yacht charter worldwide. Our international base of new/existing clients can find and book a boat in numerous locations throughout the world using our search engine. Continual development on the search ...",http://www.yachtico.com
"
SquadMail
","
 Shared email folders
SquadMail is a SaaS that lets you collaborate and share your email folders with everyone! We revolutionizing the way teams around the world collaborate using email. Our unique technology allows shared folders can be created in any email client.
With teams from ...",http://www.squadmail.com
"
Ondango
","
 Discover what you'll wear tomorrow.
Ondango is a social commerce platform for women. Focused on fashion & accessories, we present products from hundreds of online shops, curated by selected trendsetters. Follow the brands and shops you love to get personalised recommendations. Create collections ...",http://www.ondango.com
"
Tennis-buddy app
","
 Uber for Tennis
We have built a technology that allows you to find a complete stranger who wants to hang out with you, within only 10 minutes on average.
Overall 1,000 people have already met up through Tennis Buddy.
We have just lined up a really good partnership are urgently ...",http://www.tennisbuddyapp.com
"
GoLibre
","
 Kickstarter for meaningful travel.
http://GoLibre.co
Where people help each other travel more.
A crowdfunding platform for travellers, explorers and adventurers.
People can raise money for their meaningful trip from their family, friends, the community and even companies, in return the supporters ...",http://golibre.co
"
interact.io
","
 MicroApps for CRM & Communication
interact.io provides a cloud-based B2B Software platform for advanced customer relationship management (CRM) and Unified Communications.
interact.io powered MicroApps deliver the mobile, real-time communication and analytics capabilities that most CRMs are missing. ...",http://www.interact.io
"
6Wunderkinder
","
 Organize your life
6Wunderkinder has created one of fastest growing productivity apps on earth: Wunderlist. It's an easy-to-use, cloud-based and beautiful task manager for your iPhone, iPad, Android, Mac or PC.
Soon, Wunderlist will be taken to the next level with various new features ...",http://www.6wunderkinder.com
"
NowBoarding ✈️
","

Invite-only mailing list.

We search the best weekend and long-haul flight deals
so you can book before everyone else.

",https://nowboarding.club/
"
Delivery Hero
","
 The easiest way to your favorite food
",http://www.deliveryhero.com
"
twago
","
 #1 Pan-European Marketplace for Online Work and Freelancers in the Cloud
twago is the Apple iCloud for Online work.
Freelancers are in the cloud and work there.
Customers have anytime anywhere access to 140.000+ experts with 158+ different skills and manage their workforce coming from 176 countries. Very strong focus on Europe: ...",http://www.twago.com
"
Wooga
","
 
",http://www.wooga.com
"
testCloud
","
 SaaS Crowd Software Tests (Zendesk for testing)
testCloud specializes in Continuous Testing in an agile development process. This form of software testing combines automated and human testing. With its test management system – offered as a 100% Software-as-a-Service – testCloud provides support across the entire ...",http://www.testCloud.io
"
Wimdu
","
 Simply Better than a Hotel
",http://www.wimdu.com
"
AVARI
","
 Real-time predictive content recommendations with open-time personalization
AVARI enables you to personalize in the moment with real-time predictive content in email. Marketers send one campaign with AVARI dynamic content, using any email service provider (ESP) or marketing automation, and recipients get millions of unique combinations ...",http://avari.io
"
WorkHub
","
 Distribute your tasks.
WorkHub, a Berlin-based technology startup, is innovating at the intersection of mobile technology and digital outsourcing. WorkHub takes freelance work to the next level by building an on-demand cloud working service that distributes tasks to people around the ...",https://www.workhub.com
"
exploreB2B
","
 Buzzfeed for Business Professionals
You have the article, we spread the word! exploreB2B is a Business focused content marketing service, building a new media outlet based on user generated content.
exploreB2B lets you publish your business content as articles directly to your target audience - ...",http://exploreB2B.com
"
Gidsy
","
 Find unique things to do.
Gidsy is a place where anyone can explore, organize and book unique things to do. You should follow us!",https://gidsy.com/
"
Readmill
","
 (Sold to Dropbox April 2014)
Readmill is building a world class ebook reader application for phones focused on sharing & discovery through friends. We believe that the majority of reading will happen on the device everyone carries in their pockets — the phone. Fast networks, high screen resolution ...",http://readmill.com
"
Bonaverde
","
 Disruptive innovation meets the coffee industry
We have created the World's first Roast-Grind-Brew Coffee machine. The machine, in one clean progression, converts green coffee beans to cups of black coffee. By doing so, we have created not only the freshest coffee in the world, but also the fairest. 
Around ...",http://www.bonaverde.co
"
EyeEm
","
 Discover the world from the photos you take.
Incorporated in February 2011 with its HQ in Berlin, Germany, EyeEm is a camera application for smartphones that let's you share & discover topics, places and events from the photos you take. The founding team around Florian Meissner, Lorenz Aschoff, Gen Sadakane, ...",http://www.eyeem.com
"
Fit Analytics (Formerly UPcload)
","
 The Size Advisor company.
UPcload seeks to revolutionize the way people shop online. Using cutting-edge technology, UPcload’s free application measures a person’s body dimensions using a standard webcam.
By comparing product dimensions with the dimensions and styling choices of the user, ...",http://www.fitanalytics.com
"
manetch
","
 Online matchmaking applied to business networking
In business networking, meeting the right person is the result of lucky coincidences. manetch is the first company to apply the online dating concept to solve this problem. Our proprietary questionnaire-based matchmaking approach analyzes the users' experience ...",http://www.manetch.com
"
Polymer
","
 Connecting hardware professionals.
Polymer is the place to find the right people to build tomorrow's products.
It maps out the connections behind hardware projects and companies to see who has been working together before, who brings what skills and references to the table - and: who has a job ...",http://joinpolymer.com
"
Startupbootcamp Berlin
","
 The global accelerator for global startups
We accelerate ten early stage tech startups per batch and give them €15k in micro funding, free office space, 100+ mentors who are all serial entrepreneurs and exposure to several hundred investors on Investor Day. In return we receive 8% equity.
Berlin is Europe's ...",http://www.startupbootcamp.org/
"
Avuba
","
 We fix banking.
Avuba -> better banking in 1 min.
It's the simplest, smartest, and most convenient bank account in Europe. Get your account and start banking for free in 1 min. from your smartphone.
The Avuba (beta) is live on Android and iOS today.",http://www.avuba.com
"
Blinkist
","
 Modern CliffsNotes for the latest and greatest business books.
Hello, we're Blinkist.
Blinkist is an innovative subscription-based reading service that delivers cutting-edge knowledge in an engaging and easily accessible format. We take outstanding nonfiction books and distill their key insights into made-for-mobile book ...",http://blinkist.com
"
Contentful
","
 The content management platform for web and mobile apps. Create once, publish anywhere.
Contentful is a content management system that enables cross-platform, multi-device online publishing. Businesses employ Contentful to publish editorial content for web apps, mobile apps, and, ultimately, any connected devices.
Contentful is different from the ...",https://www.contentful.com
"
SoundCloud
","
 Share Your Sounds
Capture a voice, moment or music in seconds or upload audio you’ve already created.
Everyone has sounds to share.
Now you can share yours.",https://soundcloud.com
